step,norm_score,mean_reward,elapsed_s,bc_loss
5000,98.00321723940964,3170.1228490656404,12.59337306022644,0.050634827464818954
10000,98.47665869680677,3185.3393886259955,142.37149214744568,0.05100390315055847
15000,99.4217315213679,3215.7142909453096,154.68181800842285,0.04672541469335556
20000,34.34153426088123,1124.0187270326364,164.45410323143005,0.05305200815200806
25000,35.02853492912829,1146.0991187749319,174.1719298362732,0.043538253754377365
30000,91.91079356372914,2974.3106648325324,747.89027094841,0.044175565242767334
35000,35.022054492413716,1145.8908357441685,757.7707619667053,0.04190393537282944
40000,94.08193898871964,3044.0918800904524,769.1956000328064,0.04795112460851669
45000,97.92427199064824,3167.5855269065623,780.8430669307709,0.04340505599975586
50000,98.6859684096805,3192.0666607660824,793.1714491844177,0.04958808422088623
55000,70.57533534589292,2288.5831288561226,804.3114130496979,0.04982531815767288
60000,96.03536882785396,3106.8756561226232,1836.3242571353912,0.04648266360163689
65000,99.18322103444171,3208.0484978400223,1848.6244959831238,0.04469640180468559
70000,97.45743896534694,3152.581384183972,1860.9839670658112,0.04445844888687134
75000,98.51953631842555,3186.7174872597807,2900.9948420524597,0.04812737554311752
80000,99.11939134213628,3205.9969938516924,2912.8068759441376,0.0440492108464241
85000,98.03808514509547,3171.2435132110495,2924.759658098221,0.04534268006682396
90000,34.83671477734156,1139.9339659719153,2934.535096168518,0.03731212764978409
95000,97.76382466801313,3162.428705521184,2946.7998661994934,0.048079561442136765
100000,97.40704457802522,3150.9616946187266,3904.3896191120148,0.04458869621157646
105000,97.93861579708147,3168.046540817844,3916.1502499580383,0.0442991703748703
110000,74.81141557860784,2424.7319207180008,3927.1761841773987,0.04290860891342163
115000,98.96096277154695,3200.9050557161586,3939.4601380825043,0.04065915569663048
120000,98.23147593402679,3177.459146726881,4415.621485233307,0.04495000094175339
125000,97.91043529006011,3167.1408115175855,4427.843879938126,0.04806549847126007
130000,97.86612307487349,3165.7166046492193,4440.16707611084,0.04708001762628555
135000,97.57273620891613,3156.2870695238576,4452.492001056671,0.04199792072176933
140000,90.13017632607581,2917.08113367241,4464.395788192749,0.04157886654138565
145000,98.43004197659387,3183.8411143278527,5440.916829109192,0.04050406441092491
150000,97.75933089488153,3162.284274408184,5453.194000959396,0.04586194083094597
155000,98.14582178922747,3174.7061987911156,5465.5483729839325,0.04500478506088257
160000,87.18998990496681,2822.582727813338,6525.210879087448,0.037791065871715546
165000,98.953126921854,3200.6532093368887,6537.477010965347,0.04355606064200401
170000,98.6926395330708,3192.2810725194145,6549.813700199127,0.044471632689237595
175000,97.7868371871611,3163.1683342599167,6562.14937710762,0.03760097175836563
180000,83.27187951414611,2696.6535747316875,7498.537119150162,0.04447045177221298
185000,97.95798672256566,3168.669127727683,7510.27413725853,0.04375430941581726
190000,98.7663527297156,3194.650235074448,7521.840875148773,0.043832480907440186
195000,99.62282317993215,3222.177432543899,7534.011981248856,0.044084202498197556
200000,66.74717755853878,2165.5450773622615,7879.751558065414,0.0446351133286953
205000,97.99679975015104,3169.9165891835455,7891.994253158569,0.04220245033502579
210000,98.3077572568144,3179.9108495673872,7904.219982147217,0.04023376852273941
215000,97.69897930531778,3160.3445576052322,7916.4146230220795,0.04604564234614372
220000,97.95909763478224,3168.7048327539915,7928.702737092972,0.03723286837339401
225000,94.76417406291453,3066.0191043200803,8065.869843006134,0.04307831451296806
230000,98.50559263182807,3186.2693333108336,8078.19100189209,0.043553274124860764
235000,66.59456137956839,2160.6399511031022,8089.101389169693,0.04369422793388367
240000,98.600935882816,3189.333691802899,8101.3970420360565,0.038645364344120026
245000,97.83111379410873,3164.59139666962,9048.528785943985,0.04279701039195061
250000,93.8365934091109,3036.206405213369,9060.396982192993,0.048528604209423065
255000,98.30315007290335,3179.762773400527,9072.703773975372,0.04762326925992966
260000,73.96391377560586,2397.492978053893,9083.996118068695,0.040212132036685944
265000,88.72737601162025,2871.9947430602615,9998.569214105606,0.04164934158325195
270000,98.59727974112359,3189.2161823963365,10010.87966799736,0.03743688389658928
275000,98.34714957359029,3181.1769295382664,10023.096293926239,0.04067569226026535
280000,43.47206700804635,1417.4765782275676,10033.157962083817,0.04527217149734497
285000,66.33737009921052,2152.373752123275,10960.045617103577,0.0480731725692749
290000,98.25875024201866,3178.3357505393597,10971.686584234238,0.0387713722884655
295000,98.61321333654591,3189.7282925660193,10983.4810090065,0.04391516372561455
300000,98.56815706105014,3188.28017139325,10995.556900978088,0.04497184976935387
305000,97.92922040204215,3167.7445702192254,11726.781852006912,0.05097421258687973
310000,98.97722242401042,3201.427645449445,11739.173414945602,0.04360371455550194
315000,98.87097534965446,3198.0128350545174,11751.349852085114,0.04110566899180412
320000,97.90365167904098,3166.9227843807093,11763.6859998703,0.03921500965952873
325000,89.54113995080513,2898.1493414375864,11775.563806056976,0.04830233380198479
330000,97.71876827988693,3160.9805807284415,12740.576084136963,0.04226314276456833
335000,74.38570487757956,2411.049460886373,12751.9462621212,0.043141238391399384
340000,99.08692366515837,3204.953473721699,12764.230422019958,0.03855900466442108
345000,98.28675359064013,3179.235785919581,12776.607888936996,0.047615837305784225
350000,98.99951334354967,3202.1440817769067,13814.741463184357,0.0420096330344677
355000,97.88409382320953,3166.2941894777387,13827.078206062317,0.04478871822357178
360000,98.92372741489946,3199.7083010411766,13839.307093143463,0.044122230261564255
365000,98.55090633264565,3187.7257282047403,13851.623148202896,0.03713550791144371
370000,98.58245266022755,3188.739635909978,14763.844045162201,0.040181443095207214
375000,99.11205399288853,3205.761169414791,14775.733612060547,0.03860164061188698
380000,98.02174314213191,3170.718276709883,14787.33396100998,0.041482362896203995
385000,97.95036322510218,3168.424106407879,14798.977207183838,0.04232450947165489
390000,99.35820898365739,3213.6726589907266,14810.945504188538,0.04359249770641327
395000,98.83575620282623,3196.8808819215155,14989.077860116959,0.0426185242831707
400000,97.72545055495344,3161.195350899735,15001.892866134644,0.04481815919280052
405000,83.3034744547551,2697.669044873079,15013.191179037094,0.04202646762132645
410000,97.73853898301651,3161.616016602522,15025.437246084213,0.05196913331747055
415000,98.85584128075024,3197.5264218885554,15392.778393983841,0.039990391582250595
420000,98.71447619961013,3192.9829090296535,15405.052061080933,0.04150480031967163
425000,98.40201231165777,3182.9402331339907,15417.387371063232,0.0402609184384346
430000,98.53568996110876,3187.23666980937,15429.687726259232,0.04290136322379112
435000,98.31992399690638,3180.3018919635224,16346.729840040207,0.042398601770401
440000,97.61545674932454,3157.6601195240373,16358.521568059921,0.04950229451060295
445000,98.02673773900548,3170.878804436653,16370.881160020828,0.0441337525844574
450000,98.73296909550491,3193.577275825319,16383.189956188202,0.04349386692047119
455000,98.49018610745614,3185.774163350683,16488.937042951584,0.03892087563872337
460000,98.06577719709207,3172.1335434315342,16501.19706606865,0.038808051496744156
465000,98.06489938757123,3172.105330390425,16513.53418803215,0.04451560974121094
470000,97.88999578465113,3166.48388015302,17436.516334056854,0.04415467008948326
475000,98.12681966029952,3174.0954651047314,17448.853457927704,0.041314225643873215
480000,98.92356776262787,3199.7031697729517,17461.14915704727,0.040331222116947174
485000,97.86836884741285,3165.788784400602,17473.470060110092,0.04044209420681
490000,98.02186972333654,3170.7223450648567,18414.159247875214,0.04877777025103569
495000,98.20701695500065,3176.6730283670668,18426.027179002762,0.04074811935424805
500000,98.4881982817081,3185.7102740806126,18437.597373008728,0.04534651339054108
505000,98.81853631152228,3196.327429845958,18449.5790951252,0.04106554761528969
510000,99.08490201710595,3204.888497393399,18461.594877004623,0.03906763717532158
515000,97.95996687056066,3168.7327702326447,19047.355812072754,0.03701404854655266
520000,98.43620367887078,3184.039153145516,19059.828535079956,0.03785780072212219
525000,98.39509986817056,3182.7180652859106,19071.51809811592,0.03927275538444519
530000,98.97785282141565,3201.447906596638,19083.168632268906,0.04015010967850685
535000,99.13006340258774,3206.3399968302297,19094.875303030014,0.043364010751247406
540000,99.4905288805849,3217.9254571239726,19106.477510929108,0.03706137090921402
545000,99.0439135037029,3203.571115220856,19118.135651111603,0.0397367887198925
550000,66.93164063191975,2171.4737716277737,19128.56474018097,0.04633099585771561
555000,98.71839495304894,3193.108858850476,19140.179177999496,0.03844546526670456
560000,98.95514990824299,3200.718228679697,19151.76910328865,0.03761173039674759
565000,98.09711905074529,3173.1408792880748,19163.392448186874,0.042744122445583344
570000,98.94788040672036,3200.484584887471,19175.042960882187,0.040299851447343826
575000,98.13330481102281,3174.3038996450405,19186.736886024475,0.036749012768268585
580000,98.9247818785618,3199.742191795318,19198.402148246765,0.0405418798327446
585000,97.65137089325438,3158.814410056365,19210.132961034775,0.041678301990032196
590000,98.02125919415118,3170.702722487753,19221.831084012985,0.03451012447476387
595000,99.02584741569743,3202.9904661489572,20134.237576961517,0.043505579233169556
600000,97.95769031151644,3168.6596009944706,20145.874459028244,0.04510902985930443
605000,98.50537793024445,3186.2624327424746,20157.539588212967,0.04399129003286362
610000,97.51104026776987,3154.304144888726,20169.34819507599,0.0489363968372345
615000,98.84074903719721,3197.0413530009646,20181.022032022476,0.042124584317207336
620000,99.03960274417872,3203.4325662158844,20192.672045230865,0.04246949777007103
625000,90.87936650594503,2941.160313541627,20204.061632156372,0.038262613117694855
630000,94.22894721992131,3048.8167653552036,20215.51992416382,0.040954627096652985
635000,98.2519168632134,3178.116123852054,20227.170604228973,0.034258805215358734
640000,98.465163922917,3184.969943409701,20238.83431315422,0.04119189828634262
645000,98.50681936851987,3186.308760967853,20250.50672507286,0.03639419004321098
650000,98.56054272972185,3188.035444675569,20262.207457065582,0.045770566910505295
655000,98.88937417792923,3198.604178490824,20273.866532087326,0.04474775120615959
660000,98.97137559681741,3201.239726804183,20285.631521224976,0.04020823910832405
665000,99.00443647573361,3202.3023126087605,20297.37864613533,0.04642244800925255
670000,98.42782456191483,3183.7698460059555,20309.015146017075,0.04052136838436127
675000,98.37532342915567,3182.082445058887,21347.025609970093,0.038260094821453094
680000,98.75507917695636,3194.2878999665554,21358.70146894455,0.04304762929677963
685000,98.41560527453649,3183.377114725484,21370.33160996437,0.04074126109480858
690000,98.49479742052552,3185.9223722298357,21382.01305294037,0.045288145542144775
695000,97.91449548674758,3167.2713073635928,22294.063212156296,0.04346109554171562
700000,90.22601307312486,2920.161353264554,22305.544921875,0.04725592955946922
705000,98.66829587368171,3191.4986605646727,22317.11427116394,0.03942597657442093
710000,97.82902900513464,3164.5243909746105,22328.755963087082,0.04019332677125931
715000,99.29174674415064,3211.5365442062625,22340.382914066315,0.04425866901874542
720000,98.67649468716809,3191.762172700786,22707.899719953537,0.04313468188047409
725000,98.16584169301004,3175.3496440431995,22719.630012989044,0.04450606554746628
730000,58.603053326490354,1903.7906690290188,22729.805111169815,0.044061869382858276
735000,98.57967638929337,3188.6504057932652,22741.463448047638,0.03998981788754463
740000,98.35017624878762,3181.2742077173466,22988.68083000183,0.044174909591674805
745000,98.06668160877487,3172.1626114734963,23000.332381010056,0.0388682596385479
750000,98.18843058209977,3176.0756571945367,23012.01511311531,0.04220709204673767
755000,93.52585195271797,3026.219088745054,23023.528412103653,0.04339880868792534
760000,98.66649902715135,3191.44090941955,24007.781793117523,0.040126897394657135
765000,98.496238363141,3185.968684524567,24020.099389076233,0.04604772850871086
770000,97.74591801178595,3161.8531806307938,24032.402884960175,0.040212273597717285
775000,98.5720652852774,3188.405782802297,24044.73628115654,0.04162517189979553
780000,98.08734113054311,3172.8266142247817,25039.555599927902,0.04013953357934952
785000,98.49459113778137,3185.915742245309,25051.209980010986,0.04010050743818283
790000,98.29770984741113,3179.587923046536,25062.89248895645,0.04469164460897446
795000,99.00493662948122,3202.318387688726,25075.05354809761,0.04427606984972954
800000,97.81713918145508,3164.1422487486625,26087.60106396675,0.04537265747785568
805000,98.27970862691683,3179.009358834411,26099.49360895157,0.04097456485033035
810000,99.07593922937762,3204.600430913567,26111.03714323044,0.03936028853058815
815000,98.77984741675968,3195.0839580533984,26123.215115070343,0.042222630232572556
820000,97.78686565414415,3163.169249196636,26135.462703227997,0.042303524911403656
825000,98.56137827063915,3188.0622991920545,26366.57558989525,0.04174350947141647
830000,98.46715897969668,3185.034065087131,26378.81941795349,0.03530939668416977
835000,98.56124374452176,3188.0579754853848,26391.056804180145,0.04296563193202019
840000,98.5769273740521,3188.562051682071,26403.327995061874,0.04189020395278931
845000,58.770716906765166,1909.1794229334798,27329.950928926468,0.03948232904076576
850000,99.2357685166773,3209.737388472099,27342.27972316742,0.043882813304662704
855000,93.70392025689075,3031.942253357184,27354.321038246155,0.045580536127090454
860000,98.14384070455601,3174.6425261811137,27366.69620513916,0.04034384340047836
865000,98.33935835542526,3180.9265176286644,27385.28588294983,0.0381576344370842
870000,98.41206999264864,3183.263489786512,27397.658709049225,0.041499026119709015
875000,98.64832291259992,3190.8567240639923,27409.982359170914,0.04574829339981079
880000,97.82582852875636,3164.4215267774407,27422.300602197647,0.04002859815955162
885000,98.63429790015542,3190.4059562797984,28426.388782262802,0.04312364384531975
890000,98.33814639646657,3180.8875649320803,28438.76799416542,0.03670411556959152
895000,98.57418276108977,3188.473839061341,28450.96827507019,0.03870468586683273
900000,92.97787596906963,3008.6069888686475,28463.118296146393,0.03744656965136528
905000,93.84340704746079,3036.4253974369717,29518.17782521248,0.039962828159332275
910000,98.5399109983239,3187.3723351144818,29529.9313621521,0.04421564191579819
915000,98.03058004989202,3171.0022973726745,29541.647591114044,0.046136677265167236
920000,98.26384897795083,3178.4996253243144,29553.981364011765,0.04324021562933922
925000,98.0087110064931,3170.2994202612017,29566.27613592148,0.04276750609278679
930000,98.10930622733805,3173.532578519005,30030.97241806984,0.04155639559030533
935000,97.65582021259067,3158.9574124120722,30043.190424203873,0.038981180638074875
940000,97.93788644079149,3168.0230991046883,30055.438957214355,0.05089540407061577
945000,98.45845154234028,3184.7542056389716,30067.739112138748,0.03986988589167595
950000,98.46074517704574,3184.827923693627,30373.464870929718,0.04080633446574211
955000,93.75561711478493,3033.6038046873477,30385.504644870758,0.03875600919127464
960000,98.28685563634998,3179.2390656969574,30397.769336223602,0.04155810549855232
965000,97.95044132710278,3168.426616627809,30410.02341890335,0.04241300746798515
970000,98.88753985503946,3198.5452228451313,31325.37369298935,0.04450992867350578
975000,99.1874391674806,3208.184069804104,31337.641164064407,0.04375803470611572
980000,97.93252699644218,3167.8508450790036,31349.954933166504,0.040403228253126144
985000,98.06100144499987,3171.9800494366464,31362.239023208618,0.03559423238039017
990000,98.24413625967784,3177.866053099583,32332.226054906845,0.03947290778160095
995000,98.32080055329445,3180.330064728597,32344.524180173874,0.037952326238155365
1000000,98.2334902409118,3177.523887108028,32356.894247055054,0.04445202276110649
